dia-semana;situacao;momento-dia;temp;pista;Vitimas
quinta-feira;Sem Vitimas;Plena Noite;Chuva;Dupla;2
sabado;Fatais;Pleno dia;Ceu Claro;Dupla;1
domingo;Feridas;Plena Noite;Ceu Claro;Dupla;1
segunda-feira;Feridas;Pleno dia;Ceu Claro;Dupla;1
segunda-feira;Feridas;Pleno dia;Ceu Claro;Dupla;1
terca-feira;Feridas;Pleno dia;Ceu Claro;Multipla;1
quinta-feira;Feridas;Plena Noite;Ceu Claro;Multipla;1
sexta-feira;Feridas;Pleno dia;Nublado;Dupla;1
segunda-feira;Feridas;Pleno dia;Ceu Claro;Multipla;1
terca-feira;Feridas;Pleno dia;Nublado;Multipla;1
quarta-feira;Feridas;Amanhecer;Chuva;Multipla;1
sabado;Feridas;Pleno dia;Ceu Claro;Multipla;1
domingo;Feridas;Pleno dia;Ceu Claro;Dupla;1
segunda-feira;Sem Vitimas;Pleno dia;Sol;Multipla;1
segunda-feira;Sem Vitimas;Pleno dia;Nublado;Dupla;2
quinta-feira;Feridas;Plena Noite;Garoa/Chuvisco;Dupla;2
sexta-feira;Feridas;Pleno dia;Chuva;Dupla;2
sexta-feira;Feridas;Plena Noite;Chuva;Dupla;2
segunda-feira;Feridas;Pleno dia;Ceu Claro;Dupla;1
segunda-feira;Feridas;Plena Noite;Nublado;Multipla;2
terca-feira;Sem Vitimas;Pleno dia;Chuva;Dupla;1
sexta-feira;Feridas;Pleno dia;Ceu Claro;Dupla;1
sabado;Feridas;Pleno dia;Sol;Dupla;1
terca-feira;Feridas;Amanhecer;Chuva;Dupla;1
sabado;Feridas;Pleno dia;Chuva;Multipla;1
sabado;Feridas;Pleno dia;Chuva;Dupla;1
segunda-feira;Feridas;Pleno dia;Chuva;Dupla;1
terca-feira;Sem Vitimas;Pleno dia;Ceu Claro;Dupla;1
quinta-feira;Feridas;Pleno dia;Nublado;Multipla;1
quinta-feira;Sem Vitimas;Plena Noite;Nublado;Multipla;1
sexta-feira;Feridas;Pleno dia;Chuva;Dupla;1
domingo;Feridas;Plena Noite;Ceu Claro;Dupla;1
segunda-feira;Feridas;Pleno dia;Nublado;Dupla;1
quarta-feira;Sem Vitimas;Pleno dia;Chuva;Dupla;1
sabado;Feridas;Plena Noite;Ceu Claro;Dupla;1
segunda-feira;Fatais;Plena Noite;Nublado;Multipla;1
quarta-feira;Feridas;Plena Noite;Ceu Claro;Dupla;1
quinta-feira;Feridas;Pleno dia;Ceu Claro;Multipla;1
sexta-feira;Sem Vitimas;Pleno dia;Ceu Claro;Dupla;1
terca-feira;Feridas;Pleno dia;Ceu Claro;Multipla;1
quarta-feira;Sem Vitimas;Pleno dia;Chuva;Dupla;1
sabado;Feridas;Plena Noite;Nublado;Dupla;1
quinta-feira;Feridas;Pleno dia;Chuva;Multipla;1
quarta-feira;Feridas;Plena Noite;Ceu Claro;Multipla;1
sexta-feira;Feridas;Pleno dia;Ceu Claro;Multipla;1
sexta-feira;Feridas;Plena Noite;Garoa/Chuvisco;Dupla;1
domingo;Feridas;Plena Noite;Nublado;Dupla;1
segunda-feira;Feridas;Pleno dia;Ceu Claro;Multipla;1
segunda-feira;Feridas;Pleno dia;Nublado;Dupla;1
quarta-feira;Feridas;Anoitecer;Chuva;Dupla;1
segunda-feira;Feridas;Plena Noite;Nublado;Dupla;1
terca-feira;Feridas;Plena Noite;Nublado;Dupla;2
quarta-feira;Feridas;Pleno dia;Ceu Claro;Dupla;2
segunda-feira;Feridas;Plena Noite;Nublado;Dupla;2
quarta-feira;Feridas;Pleno dia;Ceu Claro;Simples;2
quarta-feira;Feridas;Plena Noite;Ceu Claro;Multipla;2
sexta-feira;Feridas;Pleno dia;Garoa/Chuvisco;Multipla;2
sabado;Feridas;Plena Noite;Ceu Claro;Dupla;2
segunda-feira;Feridas;Pleno dia;Ceu Claro;Multipla;2
quinta-feira;Feridas;Pleno dia;Ceu Claro;Dupla;2
sabado;Sem Vitimas;Plena Noite;Ceu Claro;Dupla;2
segunda-feira;Sem Vitimas;Plena Noite;Nublado;Dupla;2
terca-feira;Feridas;Pleno dia;Ceu Claro;Multipla;2
terca-feira;Sem Vitimas;Plena Noite;Nublado;Multipla;2
domingo;Feridas;Pleno dia;Sol;Multipla;2
domingo;Feridas;Plena Noite;Ceu Claro;Multipla;2
quarta-feira;Feridas;Plena Noite;Ceu Claro;Dupla;2
segunda-feira;Feridas;Pleno dia;Chuva;Dupla;2
terca-feira;Feridas;Pleno dia;Nublado;Multipla;2
terca-feira;Feridas;Anoitecer;Nublado;Multipla;2
terca-feira;Feridas;Plena Noite;Ceu Claro;Dupla;2
quarta-feira;Feridas;Pleno dia;Garoa/Chuvisco;Simples;2
sexta-feira;Sem Vitimas;Plena Noite;Nublado;Dupla;2
segunda-feira;Feridas;Pleno dia;Ceu Claro;Dupla;2
segunda-feira;Feridas;Plena Noite;Ceu Claro;Dupla;2
quinta-feira;Feridas;Pleno dia;Nublado;Dupla;2
sabado;Feridas;Plena Noite;Ceu Claro;Dupla;2
segunda-feira;Feridas;Pleno dia;Ceu Claro;Dupla;2
terca-feira;Sem Vitimas;Pleno dia;Ceu Claro;Multipla;1
terca-feira;Feridas;Pleno dia;Ceu Claro;Dupla;1
sabado;Feridas;Amanhecer;Nublado;Dupla;1
segunda-feira;Feridas;Anoitecer;Nublado;Multipla;1
terca-feira;Feridas;Pleno dia;Nublado;Dupla;1
terca-feira;Feridas;Pleno dia;Ceu Claro;Dupla;1
terca-feira;Feridas;Pleno dia;Ceu Claro;Dupla;1
quarta-feira;Feridas;Pleno dia;Sol;Dupla;1
quarta-feira;Feridas;Plena Noite;Ceu Claro;Dupla;1
sexta-feira;Sem Vitimas;Pleno dia;Ceu Claro;Multipla;1
terca-feira;Feridas;Pleno dia;Sol;Dupla;1
sabado;Feridas;Plena Noite;Ceu Claro;Multipla;1
domingo;Feridas;Plena Noite;Ceu Claro;Dupla;1
quarta-feira;Sem Vitimas;Pleno dia;Ceu Claro;Dupla;2
sabado;Feridas;Pleno dia;Nublado;Multipla;2
sabado;Feridas;Pleno dia;Ceu Claro;Multipla;2
domingo;Fatais;Plena Noite;Ceu Claro;Multipla;2
terca-feira;Feridas;Pleno dia;Ceu Claro;Simples;1
terca-feira;Feridas;Plena Noite;Ceu Claro;Multipla;2
quinta-feira;Feridas;Pleno dia;Ceu Claro;Multipla;1
sabado;Sem Vitimas;Pleno dia;Chuva;Multipla;1
sabado;Fatais;Plena Noite;Ceu Claro;Dupla;1
sabado;Feridas;Plena Noite;Ceu Claro;Multipla;1
segunda-feira;Feridas;Plena Noite;Ceu Claro;Dupla;1
domingo;Feridas;Plena Noite;Ceu Claro;Multipla;1
terca-feira;Feridas;Plena Noite;Ceu Claro;Dupla;1
quinta-feira;Feridas;Pleno dia;Ceu Claro;Multipla;1
quinta-feira;Feridas;Pleno dia;Ceu Claro;Multipla;1
sexta-feira;Feridas;Plena Noite;Ceu Claro;Multipla;1
sabado;Feridas;Pleno dia;Ceu Claro;Simples;1
quarta-feira;Feridas;Plena Noite;Ceu Claro;Dupla;1
sabado;Feridas;Plena Noite;Garoa/Chuvisco;Dupla;1
sabado;Sem Vitimas;Plena Noite;Garoa/Chuvisco;Dupla;1
terca-feira;Sem Vitimas;Pleno dia;Chuva;Multipla;1
sexta-feira;Feridas;Pleno dia;Ceu Claro;Dupla;1
segunda-feira;Sem Vitimas;Pleno dia;Ceu Claro;Dupla;1
terca-feira;Feridas;Pleno dia;Ceu Claro;Multipla;1
domingo;Feridas;Pleno dia;Ceu Claro;Multipla;1
segunda-feira;Sem Vitimas;Pleno dia;Ceu Claro;Dupla;1
terca-feira;Feridas;Plena Noite;Nublado;Multipla;1
quarta-feira;Feridas;Pleno dia;Ceu Claro;Dupla;1
sexta-feira;Feridas;Pleno dia;Ceu Claro;Dupla;1
sexta-feira;Feridas;Pleno dia;Ceu Claro;Dupla;1
sabado;Feridas;Plena Noite;Ceu Claro;Dupla;1
domingo;Feridas;Plena Noite;Ceu Claro;Multipla;1
domingo;Fatais;Plena Noite;Ceu Claro;Dupla;1
terca-feira;Feridas;Pleno dia;Ceu Claro;Dupla;1
quinta-feira;Feridas;Pleno dia;Ceu Claro;Simples;1
