"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
185043;2019-01-13;"domingo";"18:50:00";"RO";364;200,5;"PIMENTA BUENO";"Ingestão de Álcool";"Colisão traseira";"Com Vítimas Feridas";"Anoitecer";"Crescente";"Nublado";"Simples";"Reta";"Sim";5;0;1;0;4;0;1;2;"-11.652742";"-61.192787";"SR-RO";"DEL21/2";"UOP02/RO"
185045;2019-01-13;"domingo";"20:00:00";"SC";101;149;"ITAPEMA";"Falta de Atenção à Condução";"Colisão transversal";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Chuva";"Dupla";"Reta";"Sim";2;0;1;0;1;0;1;2;"-27.1175";"-48.6092";"SR-SC";"DEL8/4";"UOP03/SC"
185046;2019-01-13;"domingo";"20:15:00";"RJ";116;298;"RESENDE";"Não guardar distância de segurança";"Colisão traseira";"Sem Vítimas";"Plena Noite";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";2;0;0;0;2;0;0;2;"-22.450125";"-44.330193";"SR-RJ";"DEL5/7";"UOP03/RJ"
185048;2019-01-13;"domingo";"21:00:00";"SP";381;30;"ATIBAIA";"Falta de Atenção à Condução";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Dupla";"Reta";"Sim";2;0;0;1;1;0;1;2;"-23.048935";"-46.564892";"SR-SP";"DEL6/3";"UOP01/SP"
185050;2019-01-13;"domingo";"22:15:00";"RS";285;455,6;"IJUI";"Ingestão de Álcool";"Colisão frontal";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Chuva";"Simples";"Reta";"Sim";2;0;1;0;1;0;1;2;"-28.38566169";"-53.88905525";"SR-RS";"DEL9/10";"UOP01/RS"
185051;2019-01-13;"domingo";"22:10:00";"SC";101;114;"ITAJAI";"Velocidade Incompatível";"Colisão traseira";"Com Vítimas Fatais";"Plena Noite";"Decrescente";"Chuva";"Dupla";"Viaduto";"Não";2;1;0;0;1;0;0;2;"-26.8708";"-48.7293";"SR-SC";"DEL8/4";"UOP04/SC"
185053;2019-01-13;"domingo";"21:30:00";"BA";116;423;"FEIRA DE SANTANA";"Falta de Atenção à Condução";"Colisão transversal";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Interseção de vias";"Sim";2;0;1;0;1;0;1;2;"-12.2359634";"-38.97799199";"SR-BA";"DEL10/2";"UOP01/BA"
185054;2019-01-13;"domingo";"21:00:00";"PE";232;59;"POMBOS";"Velocidade Incompatível";"Colisão com objeto estático";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Nublado";"Dupla";"Desvio Temporário";"Sim";4;0;1;0;3;0;1;1;"-8.147123";"-35.398911";"SR-PE";"DEL11/1";"UOP04/PE"
185056;2019-01-13;"domingo";"20:00:00";"TO";242;372;"PEIXE";"Animais na Pista";"Saída de leito carroçável";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Nublado";"Simples";"Curva";"Não";1;0;1;0;0;0;1;1;"-11.88549348";"-48.81199837";"SR-TO";"UOP01/TO";""
185057;2019-01-13;"domingo";"20:00:00";"PR";163;127;"REALEZA";"Desobediência às normas de trânsito pelo condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Sol";"Simples";"Não Informado";"Não";3;0;0;2;1;0;2;1;"-25.6015";"-53.5626";"SR-PR";"DEL7/2";"UOP04/PR"
185058;2019-01-13;"domingo";"22:00:00";"ES";101;268;"SERRA";"Desobediência às normas de trânsito pelo condutor";"Colisão transversal";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Garoa/Chuvisco";"Múltipla";"Reta";"Sim";2;0;1;0;1;0;1;2;"-20.20921741";"-40.26963841";"SR-ES";"DEL12/2";"UOP01/ES"
185059;2019-01-13;"domingo";"19:15:00";"PE";423;139,3;"IATI";"Ingestão de Álcool";"Colisão lateral";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";5;0;1;0;4;0;1;2;"-8.98919211";"-36.83956146";"SR-PE";"DEL11/3";"UOP01/PE"
185061;2019-01-13;"domingo";"19:50:00";"MA";222;253;"ITAPECURU MIRIM";"Restrição de Visibilidade";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Chuva";"Simples";"Reta";"Sim";3;0;2;0;0;1;2;2;"-3.48052343";"-44.09088135";"SR-MA";"DEL18/1";"UOP02/MA"
